,ant1,ant2,bchan,echan,freqid,bif,eif,stokesRR,stokesLL,stokesRL,stokesLR,source,subarray,timerange1,timerange2,reason
91,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:10,+000:02:36:12,BAD ACSCL SOLUTION      
92,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:12,+000:02:36:12,BAD ACSCL SOLUTION      
93,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:12,+000:02:36:12,BAD ACSCL SOLUTION      
94,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:12,+000:02:36:12,BAD ACSCL SOLUTION      
95,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:13,+000:02:36:13,BAD ACSCL SOLUTION      
96,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:13,+000:02:36:13,BAD ACSCL SOLUTION      
97,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:13,+000:02:36:13,BAD ACSCL SOLUTION      
98,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:13,+000:02:36:14,BAD ACSCL SOLUTION      
99,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:13,+000:02:36:14,BAD ACSCL SOLUTION      
100,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:14,+000:02:36:16,BAD ACSCL SOLUTION      
101,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:14,+000:02:36:16,BAD ACSCL SOLUTION      
102,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:16,+000:02:36:16,BAD ACSCL SOLUTION      
103,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:17,+000:02:36:17,BAD ACSCL SOLUTION      
104,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:17,+000:02:36:19,BAD ACSCL SOLUTION      
105,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:19,+000:02:36:20,BAD ACSCL SOLUTION      
106,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:20,+000:02:36:20,BAD ACSCL SOLUTION      
107,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:21,+000:02:36:21,BAD ACSCL SOLUTION      
108,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:21,+000:02:36:23,BAD ACSCL SOLUTION      
109,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:23,+000:02:36:23,BAD ACSCL SOLUTION      
110,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:23,+000:02:36:23,BAD ACSCL SOLUTION      
111,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:24,+000:02:36:24,BAD ACSCL SOLUTION      
